ID,Text,Comment
Tobbert.TrackRIntersectionLeft2x3.DisplayName,Gleis Abzweigung Links 2x3,-
Tobbert.TrackRIntersectionLeft2x3.Description,"Eine Abzweigung, die die Züge nach links führt.",-
Tobbert.TrackRIntersectionLeft2x3.FlavorDescription,"Links ist da, wo der Daumen rechts ist.",-

Tobbert.TrackRIntersectionRight2x3.DisplayName,Gleis Abzweigung Rechts 2x3,-
Tobbert.TrackRIntersectionRight2x3.Description,"Eine Abzweigung, die die Züge nach rechts führt.",-
Tobbert.TrackRIntersectionRight2x3.FlavorDescription,"Rechts ist da, wo der Daumen links ist.",-

Tobbert.TrainStation.DisplayName,Zugbahnhof,-
Tobbert.TrainStation.Description,Ein Ziel für Züge.,-
Tobbert.TrainStation.FlavorDescription,Tschu-tschu!,-

Tobbert.GoodsStation.DisplayName,Güterbahnhof,-
Tobbert.GoodsStation.Description,"Ein Gebäude, in dem Güter für die Abholung und Lieferung von Zügen bereitstehen. Bearbeiten Sie die zulässigen Güter, um festzulegen, welche empfangen und geliefert werden können.",-
Tobbert.GoodsStation.FlavorDescription,"Schauen Sie sich all die Waren an, die es aufnehmen kann.",-
Tobbert.GoodsStation.GoodSelector,Zulässige Waren bearbeiten,-
Tobbert.GoodsStation.Loading,Liefern: ,-
Tobbert.GoodsStation.Unloading,Empfangen: ,-

Tobbert.PassengerStation.DisplayName,Passagierbahnhof,-
Tobbert.PassengerStation.Description,"An diesen Bahnhöfen können die Biber in den Zug einsteigen und zu anderen, miteinander verbundenen, Bahnhöfen fahren.",-
Tobbert.PassengerStation.FlavorDescription,"Biber-Zug!",-
Tobbert.PassengerStation.DistrictObjectToggle,Geht über Distrikte hinaus: ,-
Tobbert.PassengerStation.DistrictObject,"Wenn diese Option aktiviert ist, können Biber NUR Passagierbahnhöfe aufsuchen, bei denen diese Einstellung ebenfalls aktiviert ist und die sich in anderen Distrikten befinden. ",-
Tobbert.PassengerStation.EmptyStation,Zurzeit warten keine Passagiere.,-

Tobbert.WaitingStation.DisplayName,Wartestation,-
Tobbert.WaitingStation.Description,"Hier können Züge warten, wenn sie nichts zu tun haben. Dadurch wird verhindert, dass Züge die Gleise besetzen. Züge können nicht über diesen Bereich fahren, also stellen Sie sicher, dass er nicht in einem wichtigen Weg liegt.",-
Tobbert.WaitingStation.FlavorDescription,Wann kann ich wieder fahren?,-

Tobbert.TrainYard.DisplayName,Zugfabrik,-
Tobbert.TrainYard.Description,"Ein Gebäude, das Züge herstellt.",-
Tobbert.TrainYard.FlavorDescription,Hier werden Züge geboren.,-
Tobbert.TrainYard.CostOfTrain,Kosten für 1 Zug:,-
Tobbert.TrainYard.CreateTrain,Zug herstellen,-

Tobbert.Train.PrefabName,Zug,-
Tobbert.Wagon.PrefabName,Wagen,-

Tobbert.TrainModel.TrainModel,Zugmodell:,-
Tobbert.TrainModel.SmallLog,Baumstamm,-
Tobbert.TrainModel.BigWooden,Holzdach,-

Tobbert.WagonModel.WagonModel,Wagenmodell:,-
Tobbert.WagonModel.BoxWagon,Güterwagen,-
Tobbert.WagonModel.TankWagon,Tankwagen,-
Tobbert.WagonModel.FlatWagon,Flachwagen,-
Tobbert.WagonModel.FlipperWagon,Gondelwagen,-
Tobbert.WagonModel.MetalCart,Metallwagen,-
Tobbert.WagonModel.PassengerWagon,Passagierwagen,-

Tobbert.BatchControl.Trains,Züge,-
Tobbert.Train.Length,Zuglänge: ,-
Tobbert.Train.Destroy,Soll der Zug wirklich zerstört werden?,-

Tobbert.TrackSystem.ToggleSectionDivider,Trennt Streckenabschnitte: ,-
Tobbert.TrackSystem.ButtonChangeDirection,Richtung wechseln,-
Tobbert.TrackSystem.CollidingSectionDividers,2 Streckenabschnittstrenner können nicht verbunden werden,-

Tobbert.ToolGroup.Trains,Züge,-

Tobbert.TrainYard.PreviewErrorMessage,Es kann nur 1 Zugfabrik gebaut werden,-

Tobbert.Trains.UnlockPrompt,"Sie müssen {0} freischalten, um {1} zu bauen.",{0} steht für <Building>.DisplayName {1} steht für <TrackPiece>.DisplayName.

Tobbert.DistributionTrain.MinimumOfItemsToMove,Minimum an zu bewegenden Gütern: ,-

Tobbert.TrainNavigation.Unstuck,Wenden,-
Tobbert.TrainDestination.UnconnectedWarning,Wartestation ist nicht mit einer Strecke verbunden.,-
Tobbert.TrainDestination.UnconnectedWarningShort,Nichtverbundene Wartestation,-

Tobbert.ChooChooSettings.Header,Choo! Choo!,- 
Tobbert.ChooChooSettings.DefaultTrainModel,Standard Zugmodell: ,-
Tobbert.ChooChooSettings.DefaultWagonModel,Standard Wagenmodell: ,-
